full_name,html_url,language,license,description,updated_at
dongyubin/Awesome-AI-Images-Prompts,https://github.com/dongyubin/Awesome-AI-Images-Prompts,—,—,2026年4月更新，精选适用于 GPT Image 2、Gemini Nano-banana Pro Image Prompts、即梦、豆包 Seedream 4.0、Hunyuan 3.0、ChatGPT-4o、Grok Image、FLUX、Ideogram、Imagen、Leonardo Ai、Midjourney、Seedance 2.0等AI生图大模型的提示词,2026-04-27T06:38:20Z
lidge-jun/ima2-gen,https://github.com/lidge-jun/ima2-gen,JavaScript,—,"Minimal CLI + web UI for OpenAI GPT Image 2 generation. Dual auth: API Key (paid) or OAuth via ChatGPT (free). Text-to-image, image-to-image, parallel gen, custom sizes.",2026-04-27T05:38:54Z
Shannon4Science/NanaDraw,https://github.com/Shannon4Science/NanaDraw,TypeScript,NOASSERTION,"NanaDraw turns complex scientific ideas into clear, expressive visuals you can use right away. Powered by Nano Banana, it generates editable illustrations in formats like SVG, PPT, and XML.",2026-04-24T09:39:11Z
JuneYaooo/gpt-image2-ppt-skills,https://github.com/JuneYaooo/gpt-image2-ppt-skills,Python,Apache-2.0,"Clone any .pptx into your own deck — OpenAI gpt-image-2 mimics the layout, you supply the content. 10 bundled styles. | 把任何 .pptx 模板""抄""成你的 PPT：gpt-image-2 仿版式、你换内容，另含 10 套精选风格。Claude Code / OpenClaw skill.",2026-04-27T06:35:32Z
NomaDamas/god-tibo-imagen,https://github.com/NomaDamas/god-tibo-imagen,JavaScript,—,Python & Node package to use GPT image 2.0 model via codex subscription,2026-04-27T05:52:18Z
gpt-image2/awesome-gptimage2-prompts,https://github.com/gpt-image2/awesome-gptimage2-prompts,—,—,"🚀 Curated GPT Image 2 800+ prompt library — pixel-perfect text rendering, cross-image consistency, and commercial-grade illustration. Free & open source.",2026-04-27T01:45:17Z
EvoLinkAI/GPT-Image-2-Seedance2-Workflow,https://github.com/EvoLinkAI/GPT-Image-2-Seedance2-Workflow,—,NOASSERTION,GPT-image-2 and seedance2 workflows and prompt templates  to produce high-quality AI videos.,2026-04-27T06:36:33Z
hypersocialinc/shots,https://github.com/hypersocialinc/shots,JavaScript,—,Claude Code/Agent Skill for making App Store Screenshot generator with GPT Image 2. Give it your App Store link & screenshots of your app and it will produce beautiful app store screenshots ready to upload to Apple (or Google),2026-04-27T06:03:48Z
xianyu110/awesome-gptimage2,https://github.com/xianyu110/awesome-gptimage2,HTML,—,GPT Image 2 是 OpenAI 的下一代 AI 图片模型——相较 GPT Image 1.5 实现重大飞跃，采用全新独立架构（非基于 GPT-4o）。近乎完美的文字渲染、卓越的世界知识、真实感输出品质，代表了 AI 图片生成的全新标准。,2026-04-27T03:01:21Z
magiccreator-ai/awesome-gpt-image-2-prompts,https://github.com/magiccreator-ai/awesome-gpt-image-2-prompts,—,—,awesome gpt-image-2 prompts,2026-04-27T01:35:47Z
Anil-matcha/gpt-image-2-comfyui,https://github.com/Anil-matcha/gpt-image-2-comfyui,Python,MIT,ComfyUI custom nodes for GPT-Image-2 image generation via muapi.ai — text-to-image and image-to-image,2026-04-25T14:38:53Z
helloyangy/chatgpt2api-Tutorial,https://github.com/helloyangy/chatgpt2api-Tutorial,—,—,chatgpt2api反代gpt-image-2画图大模型，免费使用效果强大,2026-04-27T03:10:36Z
robonuggets/gpt-image-2-skill,https://github.com/robonuggets/gpt-image-2-skill,—,—,"GPT Image 2 (ChatGPT Images 2.0) skill for Claude Code — best-in-class typography, two endpoints (T2I + edit), Fal AI integration, structured-JSON prompting patterns",2026-04-26T20:21:16Z
wjb127/codex-image,https://github.com/wjb127/codex-image,—,MIT,Claude Code skill for AI image generation via Codex CLI OAuth (gpt-image-2) / Codex CLI OAuth를 통한 AI 이미지 생성 Claude Code 스킬,2026-04-27T00:52:01Z
peterRooo/awesome-gpt-image-2-prompts,https://github.com/peterRooo/awesome-gpt-image-2-prompts,Python,—,"A professional GPT Image 2 prompt library with 500 curated, copy-ready prompts, repository-hosted preview images, structured JSON/CSV exports, source attribution, and daily updates from GptImageLab.",2026-04-27T02:44:18Z
wuchubuzai2018/expert-skills-hub,https://github.com/wuchubuzai2018/expert-skills-hub,JavaScript,—,一些个人制作整理的AgentSkills技能仓库包，最新gpt-image-2 skills现在可用，nanobananapro的skills、微信文章搜索skills、。微信公众号关注：无处不在的技术,2026-04-26T06:44:33Z
zhouwei713/gpt-image-2-prompting-skill,https://github.com/zhouwei713/gpt-image-2-prompting-skill,—,MIT,"A high-quality GPT-Image-2 prompting skill with bilingual README, structured prompting methods, templates, and examples.",2026-04-27T06:17:06Z
jiangmuran/claude-image,https://github.com/jiangmuran/claude-image,Python,MIT,"教 Claude Code/Codex 真正用好 gpt-image-2 的 skill 包 · Drop-in skill teaching agents to actually use GPT Image 2 — intent-first prompting, surgical edits, parallel batching, visual self-verification",2026-04-27T05:51:38Z
petergpt/gpt-image-360-babylon-walkthrough,https://github.com/petergpt/gpt-image-360-babylon-walkthrough,JavaScript,MIT,GPT Image 2 generated 360 panorama walkthrough of Babylon's Hanging Gardens,2026-04-26T22:32:38Z
moosl/awsome-gpt-image-2-prompts,https://github.com/moosl/awsome-gpt-image-2-prompts,—,MIT,—,2026-04-27T03:49:08Z
smixs/visual-skills,https://github.com/smixs/visual-skills,—,MIT,"Professional Claude Skills for AI image and video prompting. Supports Nano Banana (Gemini 3 Pro/Flash), GPT Image 2, Seedance 2.0, Kling 3.0 (multi-shot + native dialogue), Veo. Works with Claude Code, Cursor, Windsurf, OpenCode, Hermes-agent.",2026-04-26T20:26:58Z
Wangnov/gpt-image-2-skill,https://github.com/Wangnov/gpt-image-2-skill,Rust,MIT,Agent-first GPT Image 2 CLI and installable skill for OPENAI_API_KEY or Codex auth.json.,2026-04-27T06:27:27Z
JuneYaooo/xhs-writer-skill,https://github.com/JuneYaooo/xhs-writer-skill,Python,Apache-2.0,小红书爆款笔记生成器，基于gpt-image-2，强力超快生成，自然语言修改，超好用！,2026-04-27T02:43:08Z
nateherkai/gpt-image-2-vs-nano-banana-2,https://github.com/nateherkai/gpt-image-2-vs-nano-banana-2,TypeScript,—,"Head-to-head benchmark of GPT Image 2 vs Nano Banana 2, judged by Claude Opus 4.7. Student template for an AI engineering course.",2026-04-24T08:05:46Z
underwoodxie/promptsref-gpt-image-prompts,https://github.com/underwoodxie/promptsref-gpt-image-prompts,—,—,Discover the best GPT Image 2 prompt collection for AI image and video generation.,2026-04-27T02:39:53Z
itgoyo/awesome-gpt-image2,https://github.com/itgoyo/awesome-gpt-image2,—,—,A bilingual awesome list of GPT-Image-2 related GitHub repositories,2026-04-26T15:26:39Z
SwiftSteed/Awesome-ChatGPT-Image,https://github.com/SwiftSteed/Awesome-ChatGPT-Image,—,—,"🎨 A curated list of amazing ChatGPT Image 2.0 generation prompts. Master the art of AI visual creation with categorized, high-quality prompts and techniques.",2026-04-25T22:01:30Z
junyeo217/codex-gpt-image-2-skill,https://github.com/junyeo217/codex-gpt-image-2-skill,Python,MIT,GPT Image 2 prompt and workflow skill for Codex,2026-04-27T04:28:48Z
ChaosRealmsAI/gpt-image-2-gallery,https://github.com/ChaosRealmsAI/gpt-image-2-gallery,JavaScript,MIT,"AI image inspiration atlas · 3,800+ GPT-Image-2 works across 445 themes with full copy-paste prompts · MIT + CC BY 4.0",2026-04-27T03:53:40Z
Toolify-AI/awesome-gpt-image-2-prompts,https://github.com/Toolify-AI/awesome-gpt-image-2-prompts,—,MIT,"A curated repository of GPT Image 2 prompts collected from early public social posts and Toolify, organized into a multilingual awesome-style prompt library.",2026-04-26T11:18:12Z
fchangjun/AI-Zero-Token,https://github.com/fchangjun/AI-Zero-Token,TypeScript,MIT,"Local-first OpenAI-compatible AI CLI and gateway with Codex OAuth, multi-account management, and gpt-image-2 image generation.",2026-04-24T13:02:53Z
Hostingglobal-Tech/daedal,https://github.com/Hostingglobal-Tech/daedal,Rust,MIT,"Tiny Rust CLI for OpenAI gpt-image-2 — single static binary, no SDK",2026-04-24T06:51:24Z
funAgent/city-publicity,https://github.com/funAgent/city-publicity,HTML,—,2026 新疆 42 城国潮风格 AI 宣传海报 — gpt image 2 生图｜Guochao-style AI city publicity posters for 42 cities in Xinjiang — prompts &  GPT image 2 generated   images,2026-04-22T10:28:00Z
Mocairo/GPT-Image-2-Studio,https://github.com/Mocairo/GPT-Image-2-Studio,Python,MIT,—,2026-04-27T04:05:24Z
cliprise/awesome-gpt-image-2-prompts,https://github.com/cliprise/awesome-gpt-image-2-prompts,—,—,"GPT Image 2 prompts, ChatGPT Images 2.0 workflows, AI image generation examples, editing prompts, product visuals and Cliprise resources.",2026-04-26T11:40:52Z
AgentGrowing/chatGPT-image-2-SKILL,https://github.com/AgentGrowing/chatGPT-image-2-SKILL,—,—,—,2026-04-26T10:59:46Z
ToseaAI/awesome-gpt-image-2-prompts,https://github.com/ToseaAI/awesome-gpt-image-2-prompts,Python,NOASSERTION,"60 production-grade prompts for OpenAI's GPT Image 2 - curated, bilingual, fully source-attributed. Live previews on Tosea.ai.",2026-04-25T06:45:04Z
FURUYAN1234/nano-banana-pro,https://github.com/FURUYAN1234/nano-banana-pro,Python,—,# Manga-Autonoma (powered by nano-banana-2)　Autonomous AI 4-panel manga production system using Gemini API. / Gemini APIを活用した、Nano Banana 2 and ChatGPT image 2.0対応の完全自律型AI4コママンガ制作システム。,2026-04-27T05:12:18Z
davidwuw0811-boop/awesome-gpt-image2-prompts,https://github.com/davidwuw0811-boop/awesome-gpt-image2-prompts,HTML,—,GPT Image 2 提示词大全 | 408条精选提示词 | 中英文搜索 | 分类筛选 | 一键复制,2026-04-27T04:29:53Z
JoeSai/awesome-gpt-image-2-commercial-prompts,https://github.com/JoeSai/awesome-gpt-image-2-commercial-prompts,—,MIT,"A professional open-source GPT-Image-2 prompt library focused on e-commerce, product storytelling, and conversion-driven visual production.",2026-04-27T03:38:53Z
dshark3y/gpt-image-2-skill,https://github.com/dshark3y/gpt-image-2-skill,Python,—,Claude Code skill for generating and editing images with OpenAI's gpt-image-2,2026-04-26T23:27:39Z
IanShaw027/codex-image,https://github.com/IanShaw027/codex-image,Python,MIT,Codex skill for OpenAI Images API generation and editing in API key mode,2026-04-25T11:06:40Z
workboy/gpt-image-2,https://github.com/workboy/gpt-image-2,Python,Apache-2.0,适用于openclaw等agent的gpt-image-2生图skills,2026-04-23T16:39:42Z
ningzimu/codex-ppt-skill,https://github.com/ningzimu/codex-ppt-skill,Python,MIT,Codex skill for generating image-based PowerPoint decks with gpt-image-2,2026-04-27T00:57:04Z
jf546897/AI-Image-2,https://github.com/jf546897/AI-Image-2,Python,MIT,适用于本地调用gpt-image-2模型制作图片,2026-04-26T16:42:53Z
jokooooooo/gpt-image-2-codex-2api,https://github.com/jokooooooo/gpt-image-2-codex-2api,JavaScript,—,—,2026-04-26T13:23:28Z
siqili723547-ui/anime-fanart-imagegen,https://github.com/siqili723547-ui/anime-fanart-imagegen,Python,—,—,2026-04-26T07:29:22Z
ChaosRealmsAI/gpt-image-2-hub,https://github.com/ChaosRealmsAI/gpt-image-2-hub,JavaScript,—,"GPT-Image-2 prompt atlas · 1,400+ ChatGPT Images 2.0 works with full copy-paste prompts across 178 themes",2026-04-26T02:38:39Z
Borys520/gpt-image-2-mcp,https://github.com/Borys520/gpt-image-2-mcp,TypeScript,MIT,MCP server exposing OpenAI's gpt-image-2 for image generation and iterative editing,2026-04-24T05:07:49Z
aitools12/awesome-gpt-image-2,https://github.com/aitools12/awesome-gpt-image-2,—,MIT,"Curated GPT Image 2 prompts, examples, posters, UI mockups, infographics, and source-attributed case studies.",2026-04-23T06:21:14Z
cf12436/gpt2_images,https://github.com/cf12436/gpt2_images,Python,NOASSERTION,"A curated GPT-Image-2 prompt showcase for DuctTape3, featuring image workflow references, prompt examples, and visual case studies.",2026-04-27T02:24:46Z
erickkkyt/awesome-gptimage2-prompts,https://github.com/erickkkyt/awesome-gptimage2-prompts,Python,NOASSERTION,A curated GPT-Image-2 prompt library with preview images and copy-ready prompts. OpenAI image generation. Free & open source.,2026-04-26T23:37:07Z
RamlyBurger/gpt-image-2-mcp,https://github.com/RamlyBurger/gpt-image-2-mcp,TypeScript,MIT,Local MCP server for ChatGPT image generation.,2026-04-26T23:31:43Z
jacwu/demo-gpt-image-2,https://github.com/jacwu/demo-gpt-image-2,—,—,—,2026-04-26T10:29:08Z
ianlintner/ai-pixel-art-image-generation,https://github.com/ianlintner/ai-pixel-art-image-generation,Python,MIT,"AI Claude Code Skill: GPT-Image-2, Foundry, Gemini Game Development Pixel Art, Sprite & Tilemap Image Generation",2026-04-26T08:35:02Z
kianaliang-dev/drama-director-skill,https://github.com/kianaliang-dev/drama-director-skill,Python,MIT,"One API key, two calls: GPT Image 2 + Seedance 2.0 comic-drama workflow skill.",2026-04-26T07:04:02Z
XiaoAI1024/gpt-image-2-api-skill,https://github.com/XiaoAI1024/gpt-image-2-api-skill,—,—,—,2026-04-25T23:47:58Z
vdruts/ChatGPT-Image-2,https://github.com/vdruts/ChatGPT-Image-2,JavaScript,MIT,"Claude Code skill for OpenAI gpt-image-2: editorial typography, multi-image composition, text-heavy infographics.",2026-04-25T03:41:04Z
monaican/comic-lens,https://github.com/monaican/comic-lens,TypeScript,MIT,自动烤肉机！基于GPT Image 2 的漫画翻译工具，在保留原作字体风格的情况下完成精准翻译.,2026-04-24T15:18:36Z
tsjdev-apps/ai-image-generation-console,https://github.com/tsjdev-apps/ai-image-generation-console,C#,MIT,"Interactive console app for AI image generation with Azure OpenAI, OpenAI and Google AI. Supports gpt-image-1, gpt-image-1-mini, gpt-image-1.5, gpt-image-2, gemini-2.5-flash-image and gemini-3-pro-image-preview. Built with .NET 10 & Spectre.Console.",2026-04-24T13:42:06Z
kitephp/gpt-image-2-studio,https://github.com/kitephp/gpt-image-2-studio,HTML,MIT,GPT Image 2 Studio 是一个本地优先的 gpt-image-2 单页图像生成工作台。它可以直接打开 index.html 使用，不需要后端、构建步骤、包管理器或本地服务。,2026-04-23T05:13:12Z
joonlab/gpt-image-2-review-by-joonlab,https://github.com/joonlab/gpt-image-2-review-by-joonlab,Python,—,OpenAI gpt-image-2 (ChatGPT Images 2.0) 실측 리뷰 & API 가이드 — 16장 테스트 결과와 Next.js 리뷰 사이트,2026-04-22T14:22:43Z
oakplank/claude-gpt-image-bridge,https://github.com/oakplank/claude-gpt-image-bridge,Shell,MIT,"Give Claude Code image generation by bridging to OpenAI's gpt-image-2 through the codex CLI. Uses your ChatGPT sub, no API key.",2026-04-27T01:31:52Z
susongyuan/gpt-image-2,https://github.com/susongyuan/gpt-image-2,Python,MIT,A Python CLI example for generating images with a GPT Image-compatible API.,2026-04-27T01:05:37Z
lanbinleo/pictu,https://github.com/lanbinleo/pictu,Go,MIT,P个图，一款由OpenAI GPT-Image-2 驱动的对话式图像修改/生成网站。移动端支持。,2026-04-26T15:58:37Z
xiaopengs/gpt-image2-prompt-masterclass,https://github.com/xiaopengs/gpt-image2-prompt-masterclass,—,NOASSERTION,🎨 GPT Image 2 提示词大师课 — 零基础到大师，55000+字完整教程，含美学描述、专业词汇、100+案例分析,2026-04-26T08:29:01Z
hisobery/image_generator_for_test,https://github.com/hisobery/image_generator_for_test,Python,—,该脚本通过调用图像生成接口（gpt-image-2 模型），将文本提示词和可选的参考图片生成新图像，并将返回的图片自动下载保存到本地。 主要步骤包括：  将本地参考图片读取并编码为 Base64 字符串； 组装请求体，指定模型、提示词、画面比例、质量等参数； 发送 POST 请求，解析 JSON 响应，提取生成图片的 URL； 下载图片并以 image_时间戳.png 格式保存到脚本同目录下的 generated_images 文件夹中。,2026-04-26T07:48:11Z
imgx-studio/gpt-image-2-webui,https://github.com/imgx-studio/gpt-image-2-webui,TypeScript,—,—,2026-04-26T05:25:56Z
Kuzat/pi-extension-gpt-image-2,https://github.com/Kuzat/pi-extension-gpt-image-2,TypeScript,MIT,Pi extension that adds a gpt_image_2_generate tool,2026-04-25T13:49:17Z
917940234/PaperBanana-CN,https://github.com/917940234/PaperBanana-CN,Python,Apache-2.0,"Bilingual academic figure workbench with GPT-5.5, GPT-Image-2, Gemini, and gateway-compatible routing",2026-04-24T12:11:57Z
vanch007/gpt-image-2-skill,https://github.com/vanch007/gpt-image-2-skill,Python,—,—,2026-04-24T11:41:18Z
longyunfeigu/awesome-gpt-image-2-skill,https://github.com/longyunfeigu/awesome-gpt-image-2-skill,Python,—,"Curated gpt-image-2 prompt library (198 cases from community awesome lists), packaged as a Codex    skill with tag-based retrieval and auto-sync.",2026-04-24T09:44:36Z
buildnewapp/GptImage2Api,https://github.com/buildnewapp/GptImage2Api,TypeScript,—,—,2026-04-24T08:45:37Z
gpt-image-2/gpt-image-2,https://github.com/gpt-image-2/gpt-image-2,—,—,—,2026-04-24T07:20:15Z
aymenbouferroum/gpt-imagen,https://github.com/aymenbouferroum/gpt-imagen,Python,MIT,Claude Code plugin marketplace for GPT Image 2-first image generation and editing workflows,2026-04-23T12:52:17Z
StarRoadlu/gpt-image-2-gallery,https://github.com/StarRoadlu/gpt-image-2-gallery,Python,—,"A gallery repository for GPT-Image-2 generated images, prompts, and visual experiments.",2026-04-23T12:43:07Z
SeraphNANA/trae-GPTimage2-anli,https://github.com/SeraphNANA/trae-GPTimage2-anli,HTML,—,GPT image 2 优秀案例搜集、展示、提示词拆解，定期更新。,2026-04-23T09:47:50Z
nano-banana-2-ai/gpt-image-2,https://github.com/nano-banana-2-ai/gpt-image-2,TypeScript,—,"GPT Image 2 API tutorial, examples, and SDK. Learn how to use GPT Image 2 for AI image generation, editing.",2026-04-23T08:11:29Z
nanobanana-co/gptimg2,https://github.com/nanobanana-co/gptimg2,—,—,Next-Gen AI Image Creation with GPT Image 2,2026-04-23T06:58:59Z
DiJamesBond/gpt-image-2-skill,https://github.com/DiJamesBond/gpt-image-2-skill,—,MIT,—,2026-04-22T20:48:23Z
ApiMartAI/best-gpt-image-2-prompts,https://github.com/ApiMartAI/best-gpt-image-2-prompts,Python,NOASSERTION,"A curated gallery of 107 high-quality GPT-Image-2 prompts — portraits, posters, character sheets, UI mockups. Click any image to try on APIMart.",2026-04-22T17:16:20Z
aitools12/How-to-use-gpt-image-2,https://github.com/aitools12/How-to-use-gpt-image-2,HTML,—,"GPT Image 2 Dev is an AI image generator and editor with official links, pricing, showcase, and package metadata.",2026-04-22T15:03:15Z
ilkerzg/comic-studio,https://github.com/ilkerzg/comic-studio,TypeScript,—,"Direct a whole comic with one brief. Styles, 1-4 characters, up to 50 panels, openai/gpt-image-2 on fal. Flipbook reader on the other side.",2026-04-22T06:16:43Z
ilkerzg/gpt-image-2-prompts,https://github.com/ilkerzg/gpt-image-2-prompts,TypeScript,NOASSERTION,—,2026-04-22T02:18:05Z
amrrs/chatgpt-images-2-api,https://github.com/amrrs/chatgpt-images-2-api,Python,MIT,This is an unofficial python wrapper for chatgpt images 2 api (aka GPT Image 2.0 API),2026-04-21T23:38:18Z
jokooooooo/syber-gpt-image-2,https://github.com/jokooooooo/syber-gpt-image-2,Python,—,syber-gpt-image-2,2026-04-27T06:38:49Z
ai-fzx/fzx-GPT-Image2-prompt,https://github.com/ai-fzx/fzx-GPT-Image2-prompt,Python,NOASSERTION,收藏gpt-image-2优质提示词,2026-04-27T06:18:56Z
ArcDent/gpt-img2-mcp,https://github.com/ArcDent/gpt-img2-mcp,JavaScript,—,Lightweight OpenCode MCP server for CPA GPT Image 2 image generation.,2026-04-27T06:07:50Z
colin-automates/Codex-ImageGen--Claude-Code,https://github.com/colin-automates/Codex-ImageGen--Claude-Code,TypeScript,MIT,"A Claude Code plugin that generates images via OpenAI Codex CLI's built-in gpt-image — billed against your ChatGPT plan, no API key, no per-image charges. Auto-activates whenever your task involves a missing image",2026-04-27T05:52:14Z
xxvv/gpt-image-2-web,https://github.com/xxvv/gpt-image-2-web,TypeScript,—,—,2026-04-27T05:31:36Z
kazuph/gpt-image-2-samples,https://github.com/kazuph/gpt-image-2-samples,HTML,—,—,2026-04-27T04:15:11Z
tmj102025/gpt-image-2-gallery,https://github.com/tmj102025/gpt-image-2-gallery,TypeScript,—,—,2026-04-27T03:28:53Z
pyth0nb3st/awesome-gpt-image-2,https://github.com/pyth0nb3st/awesome-gpt-image-2,HTML,NOASSERTION,"A public gallery of playful GPT Image 2 prompts, use cases, and generated images",2026-04-27T01:56:39Z
hirosak514/GPT-Image-2.0,https://github.com/hirosak514/GPT-Image-2.0,Python,—,—,2026-04-27T01:06:34Z
jvm/pi-codex-image-gen,https://github.com/jvm/pi-codex-image-gen,Python,Apache-2.0,Image generation for Pi using the ChatGPT Images 2.0 model,2026-04-26T22:00:55Z
VPC-byte/gpt-image-playground-2-companion,https://github.com/VPC-byte/gpt-image-playground-2-companion,—,MIT,Unofficial companion framework for GPT Image 2 playground experiments and reproducible runs.,2026-04-26T17:56:30Z
VPC-byte/gpt-image-2-prompts-api-companion,https://github.com/VPC-byte/gpt-image-2-prompts-api-companion,—,MIT,Unofficial API companion for GPT Image 2 prompt collections and creator workflows.,2026-04-26T17:56:17Z
VPC-byte/youmind-gpt-image-2-companion,https://github.com/VPC-byte/youmind-gpt-image-2-companion,—,MIT,Unofficial companion workflow for YouMind GPT Image 2 prompt galleries and API reproducibility.,2026-04-26T17:56:13Z
xushangwen/gpt-image-2,https://github.com/xushangwen/gpt-image-2,TypeScript,—,—,2026-04-26T15:52:51Z
height-comparison/gpt-image-2,https://github.com/height-comparison/gpt-image-2,—,—,"GPT Image 2 Guide: Features, Prompts, Use Cases",2026-04-26T15:20:22Z
webdown-a/gpt-image-2,https://github.com/webdown-a/gpt-image-2,TypeScript,MIT,—,2026-04-26T13:57:22Z
exobrain-alpha/gpt-image-2,https://github.com/exobrain-alpha/gpt-image-2,TypeScript,MIT,—,2026-04-26T13:47:05Z
wuguirongsg/gpt-image2-Guide,https://github.com/wuguirongsg/gpt-image2-Guide,CSS,NOASSERTION,一本面向内容创作者、电商卖家、设计从业者与产品经理的系统化落地手册。涵盖 GPT Image 2 的核心能力、10 大实战场景、提示词工程方法论与进阶工作流。,2026-04-26T13:23:36Z
lrpli/gpt-image-2,https://github.com/lrpli/gpt-image-2,PHP,—,—,2026-04-26T13:19:40Z
xuxiao305/GPT_Image_2,https://github.com/xuxiao305/GPT_Image_2,Python,—,—,2026-04-26T13:12:23Z
TomHagiladi/achad-haam-ai-workshop,https://github.com/TomHagiladi/achad-haam-ai-workshop,CSS,—,"אפליקציה מלווה לסדנת AI למורים — חט""ב אחד העם פתח תקווה. 3 מסלולים: ChatGPT Images 2.0, Gemini Canvas, Gemini Gems.",2026-04-26T13:11:58Z
deepin723/dp-gpt-image-2,https://github.com/deepin723/dp-gpt-image-2,Vue,—,—,2026-04-26T08:42:25Z
michaeljabbour/amplifier-bundle-imagen,https://github.com/michaeljabbour/amplifier-bundle-imagen,Python,—,"Amplifier bundle — AI image generation and editing specialists (creative direction, prompt engineering, sequential editing, visual analysis) powered by OpenAI gpt-image-2 and Gemini Nano Banana Pro. Wraps the imagegen MCP server.",2026-04-26T07:10:35Z
markcxx/gpt-image-2-prompt,https://github.com/markcxx/gpt-image-2-prompt,TypeScript,—,—,2026-04-26T05:50:30Z
metafeng/fangxin-image-gen,https://github.com/metafeng/fangxin-image-gen,Python,—,Claude Skills / Codex 中文图片生成 Skill：基于放心 API（fangxinapi.com）的 gpt-image-2，支持文生图、改图、多图合成与 URL 输入,2026-04-26T02:44:31Z
gpt-image-2-desktop/gpt-image-2-desktop,https://github.com/gpt-image-2-desktop/gpt-image-2-desktop,Python,MIT,"Free desktop app for OpenAI's gpt-image-2 (ChatGPT Images 2.0). No account, no subscription. 2K output, 8-image batches, character continuity. Win/Mac.",2026-04-25T22:03:17Z
AlijeeWrites/chatgpt-images-2-0-prompts-2026-guide,https://github.com/AlijeeWrites/chatgpt-images-2-0-prompts-2026-guide,—,—,ChatGPT Image 2.0 Prompts Complete Helpful Guide with 50+ examples,2026-04-25T18:59:51Z
